Curso;Id_MEC;Ano_avaliacao;Modalidade;Cidade;Campus;ODP;1.1;1.2;1.3;1.4;1.5;1.6;1.7;1.8;1.9;1.10;1.11;1.12;1.13;1.14;1.15;1.16;1.17;1.18;1.19;1.20;1.21;1.22;1.23;1.24;CDT;2.1;2.2;2.3;2.4;2.5;2.6;2.7;2.8;2.9;2.10;2.11;2.12;2.13;2.14;2.15;2.16;INF;3.1;3.2;3.3;3.4;3.5;3.6;3.7;3.8;3.9;3.10;3.11;3.12;3.13;3.14;3.15;3.16;3.17;CFC;CFA;;;;
MATEMÁTICA INDUSTRIAL;2251358;2025;Bacharelado;Curitiba;Campus  Politécnico;4,36    ;4,00;4,00;5,00;4,00;4,00;4,00;4,00;;;4,00;5,00;5,00;5,00;;;5,00;;;4,00;4,00;;;;;4,22    ;3,00;;4,00;4,00;5,00;5,00;5,00;;5,00;;;3,00;;;;4,00;3,57;3,00;3,00;;3,00;4,00;4,00;4,00;4,00;;;;;;;;;;4,07;4;;;;
MÚSICA ;2252861;2024;Bacharelado ;Curitiba ;Campus Batel;5,00    ;5,00;5,00;5,00;5,00;5,00;5,00;5,00;;;5,00;5,00;5,00;5,00;;;5,00;;;5,00;5,00;;;;;4,89;5,00;;5,00;5,00;5,00;5,00;4,00;;5,00;;;5,00;;;;5,00;4,86;4,00;5,00;;5,00;5,00;5,00;5,00;;5,00;;;;;;;;;4,91;5;;;;
LETRAS PORTUGUÊS E POLONÊS ;2254376;2024;Licenciatura ;Curitiba ;Campus  Reitoria;4,88    ;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;;5,00;5,00;;;5,00;;;4,00;5,00;4,00;;;5,00;5,00    ;5,00;;5,00;5,00;5,00;5,00;;5,00;5,00;;;5,00;;;;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;;;;;;;5,00;;4,89;5;;;;
MATEMÁTICA ;2254378;2024;Bacharelado ;Curitiba ;Campus  Politécnico;3,00    ;3,00;3,00;4,00;3,00;3,00;3,00;4,00;;;3,00;;3,00;1,00;;;3,00;;;3,00;3,00;;;;;3,67    ;3,00;;4,00;3,00;5,00;4,00;3,00;;4,00;;;4,00;;;;3,00;4,17;5,00;4,00;;2,00;4,00;5,00;5,00;;;;;;;;;;;3,62;4;;;;
LETRAS JAPONÊS ;2254387;2024;Bacharelado ;Curitiba ;Campus  Reitoria;4,85    ;5,00;5,00;5,00;4,00;4,00;5,00;;;;5,00;5,00;5,00;5,00;;;5,00;;;5,00;5,00;;;;;5,00    ;5,00;;5,00;5,00;5,00;5,00;5,00;;5,00;;;5,00;;;;5,00;4,75;5,00;4,00;5,00;5,00;5,00;5,00;5,00;;;;;;;;;5,00;5,00;4,88;5;;;;
LETRAS POLONÊS ;2254917;2024;Bacharelado ;Curitiba ;Campus  Reitoria;4,31;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;;5,00;5,00;;;5,00;;;4,00;5,00;4,00;;;5,00;5,00;5,00;;5,00;5,00;5,00;5,00;;5,00;5,00;;;5,00;;;;5,00;4,71;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;;;;;;;5,00;;4,71;5;;;;
ARTES VISUAIS ;2254932;2024;Bacharelado ;Curitiba ;Campus Batel;4,50    ;5,00;5,00;5,00;5,00;5,00;5,00;5,00;;;5,00;5,00;4,00;3,00;;;3,00;;;5,00;3,00;;;;;4,44     ;5,00;;3,00;3,00;5,00;5,00;5,00;;5,00;;;4,00;;;;5,00;2,50;1,00;3,00;1,00;5,00;2,00;2,00;2,00;;4,00;;;;;;;;;3,88;4;;;;
LETRAS PORTUGUÊS E ALEMÃO ;2266296;2024;Licenciatura ;Curitiba ;Campus  Reitoria;4,58    ;4,00;5,00;5,00;3,00;5,00;5,00;5,00;5,00;5,00;4,00;;5,00;4,00;;;3,00;5,00;5,00;4,00;5,00;5,00;;;5,00;4,80    ;4,00;5,00;5,00;5,00;5,00;5,00;;4,00;5,00;;;5,00;;;;5,00;4,30;4,00;5,00;4,00;4,00;4,00;5,00;5,00;4,00;3,00;;;;;;;5,00;;4,58;5;;;;
LETRAS ITALIANO ;2266340;2024;Licenciatura ;Curitiba ;Campus  Reitoria;5,00    ;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;;;5,00;;;5,00;5,00;5,00;;;5,00;5    ;5,00;;5,00;5,00;5,00;5,00;;4,00;5,00;;;4,00;;;;5,00;4,89;5,00;5,00;5,00;4,00;5,00;5,00;5,00;;5,00;;;;;;;5,00;;4,88;5;;;;
LETRAS PORTUGUÊS E ESPANHOL ;2269038;2024;Licenciatura ;Curitiba ;Campus  Reitoria;3,75    ;4,00;4,00;5,00;3,00;4,00;4,00;3,00;4,00;4,00;4,00;;4,00;5,00;1,00;4,00;4,00;5,00;;5,00;3,00;2,00;;;3,00;3,47    ;5,00;5,00;4,00;4,00;5,00;5,00;;5,00;5,00;1,00;1,00;4,00;1,00;1,00;1,00;5,00;4,78;5,00;4,00;5,00;4,00;5,00;5,00;5,00;5,00;5,00;;;;;;;;;3,95;4;;;;
LETRAS PORTUGUÊS E JAPONÊS;2269039;2025;Licenciatura/Bacharelado ;Curitiba ;Campus  Reitoria;5,00    ;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;;5,00;5,00;;;5,00;;;5,00;5,00;5,00;;;5,00;4,89    ;4,00;;5,00;5,00;5,00;5,00;;5,00;5,00;;;5,00;;;;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;;;;;;;5,00;;4,96;5;;;;
